group,name,position
4.4,Keyshaun Elliott,LB
4.3,Markel Bell,OT
4.3,Kaytron Allen,RB
4.4,Tacario Davis,CB
4.4,Harold Perkins Jr,LB
5.2,Jakobe Thomas,S
5.2,Louis Moore,S
6.2,Logan Fano,EDGE
5.2,DeShon Singleton,S
6.2,Dalton Johnson,S
