group,name,position
7,Red Murdock,LB
4,Beau Stephens,IOL
3,Treydan Stukes,CB
7,Cameron Ball,DL
7,Quintayvious Hutchins,EDGE
5,Kaelon Black,RB
3,Travis Burke,OT
7,Khalil Dinkins,TE
2.2,Garrett Nussmeier,QB
2.2,Zakee Wheatley,S
1.4,Avieon Terrell,CB
4,T.J. Hall,CB
3,Gennings Dunker,IOL
2.2,Chandler Rivers,CB
3,Jude Bowry,OT
3,Elijah Sarratt,WR
5,Chris McClellan,DL
3,Sam Roush,TE
2.2,Jadarian Price,RB
1.2,Caleb Downs,S
5,Nicholas Singleton,RB
2.2,Deion Burks,WR
3,Eli Raridon,TE
3,Ja'Kobi Lane,WR
3,Connor Lew,IOL
2.2,Josiah Trotter,LB
2.2,Chris Johnson,CB
5,John Michael Gyllenborg,TE
5,Lorenzo Styles,S
7,Cole Wisniewski,S
5,Jalen Stroman,S
1.3,Fernando Mendoza,QB
1.4,Makai Lemon,WR
7,Dalton Johnson,S
7,Wesley Williams,DL
3,Jake Slaughter,IOL
3,Drew Allar,QB
4,Anez Cooper,IOL
7,Keelan Marion,WR
4,Logan Taylor,IOL
5,Sawyer Robertson,QB
4,Thaddeus Dixon,CB
7,Alan Herron,OT
4,Febechi Nwaiwu,IOL
3,Jack Endries,TE
3,Julian Neal,CB
3,Louis Moore,S
3,Oscar Delp,TE
7,Landon Robinson,DL
2.2,A.J. Haulcy,S
5,Caden Barnett,IOL
7,Latrell McCutchin Sr.,CB
5,Owen Heinecke,LB
4,Demond Claiborne,RB
1.4,Keldric Faulk,DL
2.2,T.J. Parker,EDGE
