group,name,position
5,Owen Heinecke,LB
5,Micah Morris,IOL
5,Kaleb Proctor,DL
5,Kaleb Elarms-Orr,LB
5,Matt Gulbin,IOL
5,Sawyer Robertson,QB
5,Joshua Braun,IOL
5,Pat Coogan,IOL
5,Mikail Kamara,EDGE
5,Dillon Bell,WR
5,Tyren Montgomery,WR
7,Avery Smith,CB
7,Keelan Marion,WR
7,Fernando Carmona,IOL
7,Jack Pyburn,EDGE
7,Chase Roberts,WR
7,Keagen Trost,IOL
7,J.C. Davis,OT
7,Skyler Gill-Howard,DL
7,Jordan Van Den Berg,DL
7,Khalil Dinkins,TE
7,Luke Altmyer,QB
7,Red Murdock,LB
7,Diego Pavia,QB
7,J'Mari Taylor,RB
7,Evan Beerntsen,IOL
7,Cole Wisniewski,S
7,Dalton Johnson,S
7,Aaron Anderson,WR
7,Josh Gesky,IOL
7,Bishop Fitzgerald,S
7,Latrell McCutchin Sr.,CB
7,Charles Demmings,CB
7,Haynes King,QB
7,Logan Fano,EDGE
7,Ar'maj Reed-Adams,IOL
7,Landon Robinson,DL
7,Eric Gentry,LB
7,Caullin Lacy,WR
7,Joey Aguilar,QB
7,Jaren Kanak,TE
7,Wesley Williams,DL
7,Noah Whittington,RB
7,Bryson Eason,DL
7,Quintayvious Hutchins,EDGE
7,Jager Burton,IOL
7,Deven Eastern,DL
7,Alex Harkey,IOL
7,Jaydn Ott,RB
7,Harrison Wallace III,WR
7,James Brockermeyer,IOL
7,Jack Kelly,LB
7,CJ Donaldson,RB
7,Cameron Ball,DL
7,Vinny Anthony II,WR
7,Alan Herron,OT
7,DeShon Singleton,S
