group,name,position
5,Nate Boerkircher,TE
7,Caullin Lacy,WR
2.2,Garrett Nussmeier,QB
4,Dallen Bentley,TE
5,Nicholas Singleton,RB
3,Brian Parker II,IOL
3,Eli Stowers,TE
7,Fernando Carmona,IOL
1.4,Carnell Tate,WR
7,Latrell McCutchin Sr.,CB
3,Devin Moore,CB
3,Romello Height,EDGE
3,Anthony Hill Jr.,LB
7,Vinny Anthony II,WR
2.2,Gabe Jacas,EDGE
5,John Michael Gyllenborg,TE
5,Matt Gulbin,IOL
5,Nadame Tucker,EDGE
3,Ephesians Prysock,CB
7,J.C. Davis,OT
7,Jack Kelly,LB
5,Jeremiah Wright,IOL
4,Beau Stephens,IOL
5,Jalen Stroman,S
1.2,Caleb Downs,S
2.2,Colton Hood,CB
2.2,Caleb Lomu,OT
4,Cole Payton,QB
5,Toriano Pride,CB
4,Taylen Green,QB
5,Caden Barnett,IOL
3,Louis Moore,S
3,Derrick Moore,EDGE
5,Nick Barrett,DL
4,Dae'Quan Wright,TE
5,Adam Randall,RB
2.2,Akheem Mesidor,EDGE
5,Kaleb Proctor,DL
4,Tyreak Sapp,EDGE
4,Tanner Koziol,TE
3,Connor Lew,IOL
3,Joshua Josephs,EDGE
3,Taurean York,LB
5,Anthony Lucas,EDGE
4,Will Kacmarek,TE
5,Nolan Rucci,OT
7,Aaron Anderson,WR
4,Joe Royer,TE
3,Davison Igbinosun,CB
2.2,CJ Allen,LB
4,Trey Zuhn III,IOL
5,Albert Regis,DL
2.2,Mike Washington Jr.,RB
7,CJ Donaldson,RB
1.4,Jordyn Tyson,WR
2.2,Max Klare,TE
