group,name,position,favourite
,Pat Coogan,IOL.C
,Red Murdock,LB.I
,Tyler Onyedim,DL.5T
,Jordan van den Berg,DL.3T
,Febechi Nwaiwu,IOL.G
,Kendrick Law,WR
,Ar'maj Reed-Adams,IOL.G
,Jack Kelly,LB.O
,Le'Veon Moss,RB
,Luke Altmyer,QB
,Eric Rivers,WR.S
,Caleb Douglas,WR
,Tanner Koziol,TE
,Barion Brown,WR
,Robert Spears-Jennings,S
,Tyren Montgomery,WR
,Alex Harkey,IOL.G
,Adam Randall,RB
,Justin Jefferson,LB.I
,Landon Robinson,DL.5T
,DJ Campbell,IOL.G
,Logan Fano,EDGE
,Jalen Huskey,S
,Skyler Gill-Howard,DL.5T,*
,Bishop Fitzgerald,S
8,Quintayvious Hutchins,EDGE
,Garrett DiGiorgio,OT
,Ethan Burke,EDGE
,Fa'alili Fa'amoe,OT
,Wesley Williams,DL
,George Gumbs Jr,EDGE
,Roman Hemby,RB
,Kaden Wetjen,WR.S
,J'Mari Taylor,RB
,Trey Moore,EDGE
,Jack Pyburn,EDGE
,Owen Heinecke,LB.I,*
,Nolan Rucci,OT
,Jaydn Ott,RB
,Diego Pavia,QB
,Andre Fuller,CB
,Cole Wisniewski,S
,Nick Singleton,RB,*
,Bryson Eason,DL.1T
,Chase Roberts,WR
,Vinny Anthony II,WR
,Aaron Anderson,WR.S
,Micah Morris,IOL.G
,Behren Morton,QB
,Lewis Bond,WR
,Jimmy Rolder,LB.I
,Mason Reiger,EDGE
,Cameron Ball,DL.3T
,Riley Nowakowski,TE,*
,Xavier Nwankpa,S
,Eli Heidenreich,RB
,Seth McGowan,RB
,Jalon Daniels,QB
,Brent Austin,CB
,Dillon Bell,WR
,Jeremiah Williams,EDGE
,Deven Eastern,DL.1T
,Patrick Payton,EDGE
,DeShon Singleton,S
,Eric Gentry,LB.O
,Caden Barnett,IOL.G
,Cian Slone,EDGE
,Jaeden Roberts,IOL.G
,Harrison Wallace III,WR
,JMichael Sturdivant,WR
,Lorenzo Styles Jr,S
,Caullin Lacy,WR
,Fernando Carmona Jr,IOL.G
,Michael Heldman,EDGE
,Lance Mason,TE
,Toriano Pride Jr,CB.N
,Collin Wright,CB
,Brandon Cleveland,DL.3T
,Zavion Thomas,WR.S
,David Gusta,DL.3T
,Tristan Leigh,OT
,Ceyair Wright,CB
,Malik Benson,WR
,Max Bredeson,FB
,Rene Konga,DL.5T
,Josh Moten,CB
,Xavian Sorey Jr,LB.O
,Alan Herron,IOL
,Colbie Young,WR
,Kendal Daniels,LB.O
,Devonta Smith,CB
,Uar Bernard,DL.3T
,Scooby Williams,LB.I
,Matthew Hibner,TE
,Romello Brinson,WR
,Joshua Braun,IOL
,James Thompson Jr,DL.3T
,Chris Adams,IOL
,Brett Thorson,P
,Preston Hodge,CB
,Desmond Reid,RB
,Aaron Graves,DL.3T
,Bobby Jamison-Travis,DL
,Wydett Williams Jr,S
,Robert Henry Jr,RB
,Noah Whittington,RB
,Isaiah Nwokobia,S
,Jamarion Miller,RB
,Wade Woodaz,LB.O
,Chip Trayanum,RB
,Gary Smith III,DL.1T
,Miles Kitselman,TE
,Rahsul Faison,RB
,West Weeks,LB
